REPLICATE |FNAME     |STERICK   |SHAPE     |RADIUS    |RIGIDITY  |GSPEED    |SSPEED    |GFORCE    |KON       |BDIST     |KOFF      |KOFF_F    |NFIL      |NBLOB     |BLOBSIZE  |VALENCY   |
2         |R_3_r_2   |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.0001    |0.03      |0.1       |10.0      |30        |1000      |0.03      |4         |
3         |R_3_r_3   |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.0001    |0.03      |0.1       |10.0      |30        |1000      |0.03      |4         |
4         |R_3_r_4   |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.0001    |0.03      |0.1       |10.0      |30        |1000      |0.03      |4         |
5         |R_3_r_5   |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.0001    |0.03      |0.1       |10.0      |30        |1000      |0.03      |4         |
6         |R_3_r_6   |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.0001    |0.03      |0.1       |10.0      |30        |1000      |0.03      |4         |
7         |R_3_r_7   |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.0001    |0.03      |0.1       |10.0      |30        |1000      |0.03      |4         |
8         |R_3_r_8   |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.0001    |0.03      |0.1       |10.0      |30        |1000      |0.03      |4         |
9         |R_3_r_9   |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.0001    |0.03      |0.1       |10.0      |30        |1000      |0.03      |4         |
0         |R_4_r_0   |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.0001    |0.03      |1.0       |10.0      |30        |1000      |0.03      |4         |
1         |R_4_r_1   |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.0001    |0.03      |1.0       |10.0      |30        |1000      |0.03      |4         |
2         |R_4_r_2   |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.0001    |0.03      |1.0       |10.0      |30        |1000      |0.03      |4         |
3         |R_4_r_3   |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.0001    |0.03      |1.0       |10.0      |30        |1000      |0.03      |4         |
4         |R_4_r_4   |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.0001    |0.03      |1.0       |10.0      |30        |1000      |0.03      |4         |
5         |R_4_r_5   |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.0001    |0.03      |1.0       |10.0      |30        |1000      |0.03      |4         |
6         |R_4_r_6   |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.0001    |0.03      |1.0       |10.0      |30        |1000      |0.03      |4         |
7         |R_4_r_7   |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.0001    |0.03      |1.0       |10.0      |30        |1000      |0.03      |4         |
8         |R_4_r_8   |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.0001    |0.03      |1.0       |10.0      |30        |1000      |0.03      |4         |
9         |R_4_r_9   |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.0001    |0.03      |1.0       |10.0      |30        |1000      |0.03      |4         |
0         |R_5_r_0   |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.0001    |0.03      |10.0      |10.0      |30        |1000      |0.03      |4         |
1         |R_5_r_1   |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.0001    |0.03      |10.0      |10.0      |30        |1000      |0.03      |4         |
2         |R_5_r_2   |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.0001    |0.03      |10.0      |10.0      |30        |1000      |0.03      |4         |
3         |R_5_r_3   |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.0001    |0.03      |10.0      |10.0      |30        |1000      |0.03      |4         |
4         |R_5_r_4   |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.0001    |0.03      |10.0      |10.0      |30        |1000      |0.03      |4         |
5         |R_5_r_5   |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.0001    |0.03      |10.0      |10.0      |30        |1000      |0.03      |4         |
6         |R_5_r_6   |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.0001    |0.03      |10.0      |10.0      |30        |1000      |0.03      |4         |
7         |R_5_r_7   |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.0001    |0.03      |10.0      |10.0      |30        |1000      |0.03      |4         |
8         |R_5_r_8   |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.0001    |0.03      |10.0      |10.0      |30        |1000      |0.03      |4         |
9         |R_5_r_9   |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.0001    |0.03      |10.0      |10.0      |30        |1000      |0.03      |4         |
0         |R_6_r_0   |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.001     |0.03      |0.0001    |10.0      |30        |1000      |0.03      |4         |
1         |R_6_r_1   |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.001     |0.03      |0.0001    |10.0      |30        |1000      |0.03      |4         |
2         |R_6_r_2   |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.001     |0.03      |0.0001    |10.0      |30        |1000      |0.03      |4         |
3         |R_6_r_3   |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.001     |0.03      |0.0001    |10.0      |30        |1000      |0.03      |4         |
4         |R_6_r_4   |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.001     |0.03      |0.0001    |10.0      |30        |1000      |0.03      |4         |
5         |R_6_r_5   |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.001     |0.03      |0.0001    |10.0      |30        |1000      |0.03      |4         |
6         |R_6_r_6   |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.001     |0.03      |0.0001    |10.0      |30        |1000      |0.03      |4         |
7         |R_6_r_7   |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.001     |0.03      |0.0001    |10.0      |30        |1000      |0.03      |4         |
8         |R_6_r_8   |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.001     |0.03      |0.0001    |10.0      |30        |1000      |0.03      |4         |
9         |R_6_r_9   |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.001     |0.03      |0.0001    |10.0      |30        |1000      |0.03      |4         |
0         |R_7_r_0   |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.001     |0.03      |0.001     |10.0      |30        |1000      |0.03      |4         |
1         |R_7_r_1   |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.001     |0.03      |0.001     |10.0      |30        |1000      |0.03      |4         |
2         |R_7_r_2   |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.001     |0.03      |0.001     |10.0      |30        |1000      |0.03      |4         |
3         |R_7_r_3   |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.001     |0.03      |0.001     |10.0      |30        |1000      |0.03      |4         |
4         |R_7_r_4   |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.001     |0.03      |0.001     |10.0      |30        |1000      |0.03      |4         |
5         |R_7_r_5   |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.001     |0.03      |0.001     |10.0      |30        |1000      |0.03      |4         |
6         |R_7_r_6   |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.001     |0.03      |0.001     |10.0      |30        |1000      |0.03      |4         |
7         |R_7_r_7   |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.001     |0.03      |0.001     |10.0      |30        |1000      |0.03      |4         |
8         |R_7_r_8   |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.001     |0.03      |0.001     |10.0      |30        |1000      |0.03      |4         |
9         |R_7_r_9   |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.001     |0.03      |0.001     |10.0      |30        |1000      |0.03      |4         |
0         |R_8_r_0   |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.001     |0.03      |0.01      |10.0      |30        |1000      |0.03      |4         |
1         |R_8_r_1   |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.001     |0.03      |0.01      |10.0      |30        |1000      |0.03      |4         |
2         |R_8_r_2   |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.001     |0.03      |0.01      |10.0      |30        |1000      |0.03      |4         |
3         |R_8_r_3   |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.001     |0.03      |0.01      |10.0      |30        |1000      |0.03      |4         |
4         |R_8_r_4   |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.001     |0.03      |0.01      |10.0      |30        |1000      |0.03      |4         |
5         |R_8_r_5   |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.001     |0.03      |0.01      |10.0      |30        |1000      |0.03      |4         |
6         |R_8_r_6   |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.001     |0.03      |0.01      |10.0      |30        |1000      |0.03      |4         |
7         |R_8_r_7   |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.001     |0.03      |0.01      |10.0      |30        |1000      |0.03      |4         |
8         |R_8_r_8   |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.001     |0.03      |0.01      |10.0      |30        |1000      |0.03      |4         |
9         |R_8_r_9   |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.001     |0.03      |0.01      |10.0      |30        |1000      |0.03      |4         |
0         |R_9_r_0   |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.001     |0.03      |0.1       |10.0      |30        |1000      |0.03      |4         |
1         |R_9_r_1   |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.001     |0.03      |0.1       |10.0      |30        |1000      |0.03      |4         |
2         |R_9_r_2   |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.001     |0.03      |0.1       |10.0      |30        |1000      |0.03      |4         |
3         |R_9_r_3   |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.001     |0.03      |0.1       |10.0      |30        |1000      |0.03      |4         |
4         |R_9_r_4   |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.001     |0.03      |0.1       |10.0      |30        |1000      |0.03      |4         |
5         |R_9_r_5   |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.001     |0.03      |0.1       |10.0      |30        |1000      |0.03      |4         |
6         |R_9_r_6   |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.001     |0.03      |0.1       |10.0      |30        |1000      |0.03      |4         |
7         |R_9_r_7   |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.001     |0.03      |0.1       |10.0      |30        |1000      |0.03      |4         |
8         |R_9_r_8   |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.001     |0.03      |0.1       |10.0      |30        |1000      |0.03      |4         |
9         |R_9_r_9   |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.001     |0.03      |0.1       |10.0      |30        |1000      |0.03      |4         |
0         |R_10_r_0  |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.001     |0.03      |1.0       |10.0      |30        |1000      |0.03      |4         |
1         |R_10_r_1  |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.001     |0.03      |1.0       |10.0      |30        |1000      |0.03      |4         |
2         |R_10_r_2  |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.001     |0.03      |1.0       |10.0      |30        |1000      |0.03      |4         |
3         |R_10_r_3  |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.001     |0.03      |1.0       |10.0      |30        |1000      |0.03      |4         |
4         |R_10_r_4  |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.001     |0.03      |1.0       |10.0      |30        |1000      |0.03      |4         |
5         |R_10_r_5  |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.001     |0.03      |1.0       |10.0      |30        |1000      |0.03      |4         |
6         |R_10_r_6  |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.001     |0.03      |1.0       |10.0      |30        |1000      |0.03      |4         |
7         |R_10_r_7  |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.001     |0.03      |1.0       |10.0      |30        |1000      |0.03      |4         |
8         |R_10_r_8  |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.001     |0.03      |1.0       |10.0      |30        |1000      |0.03      |4         |
9         |R_10_r_9  |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.001     |0.03      |1.0       |10.0      |30        |1000      |0.03      |4         |
0         |R_11_r_0  |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.001     |0.03      |10.0      |10.0      |30        |1000      |0.03      |4         |
1         |R_11_r_1  |1         |sphere    |1.0       |0.075     |0.0103, 0 |10.0      |0.001     |0.03      |10.0      |10.0      |30        |1000      |0.03      |4         |
