,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216
Time,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,57.0,58.0,59.0,60.0,61.0,62.0,63.0,64.0,65.0,66.0,67.0,68.0,69.0,70.0,71.0,72.0,73.0,74.0,75.0,76.0,77.0,78.0,79.0,80.0,81.0,82.0,83.0,84.0,85.0,86.0,87.0,88.0,89.0,90.0,91.0,92.0,93.0,94.0,95.0,96.0,97.0,98.0,99.0,100.0,101.0,102.0,103.0,104.0,105.0,106.0,107.0,108.0,109.0,110.0,111.0,112.0,113.0,114.0,115.0,116.0,117.0,118.0,119.0,120.0,121.0,122.0,123.0,124.0,125.0,126.0,127.0,128.0,129.0,130.0,131.0,132.0,133.0,134.0,135.0,136.0,137.0,138.0,139.0,140.0,141.0,142.0,143.0,144.0,145.0,146.0,147.0,148.0,149.0,150.0,151.0,152.0,153.0,154.0,155.0,156.0,157.0,158.0,159.0,160.0,161.0,162.0,163.0,164.0,165.0,166.0,167.0,168.0,169.0,170.0,171.0,172.0,173.0,174.0,175.0,176.0,177.0,178.0,179.0,180.0,181.0,182.0,183.0,184.0,185.0,186.0,187.0,188.0,189.0,190.0,191.0,192.0,193.0,194.0,195.0,196.0,197.0,198.0,199.0,200.0,201.0,202.0,203.0,204.0,205.0,206.0,207.0,208.0,209.0,210.0,211.0,212.0,213.0,214.0,215.0,216.0
eig1,0.9685223676614033,0.9958305101387428,0.973036183225223,0.9872770344375464,0.9691326606054104,0.9783608862272162,0.9788109706319714,0.9806871438669353,0.9849266552953756,0.9710007547413735,0.9565993129979278,0.956624158042318,0.9542883792109577,0.9569340799487347,0.9487172880096092,0.9558420360848513,0.949065085694384,0.9417494300599939,0.9478322626558,0.9533448133937926,0.9566095461461073,0.9584334835663718,0.9593491115768996,0.9600062406647609,0.9536535425249171,0.951961748182754,0.9524927859927994,0.9482554168611695,0.9486433733124782,0.9418802139876029,0.9456493906238015,0.9462616765215336,0.9436665895456376,0.9411442062092745,0.9480275716670785,0.938656613380521,0.930989514668432,0.9353208063200743,0.9340207871063042,0.9389001541883459,0.9348330063968262,0.9342088910571099,0.925583522997457,0.9269724560539617,0.9267328946359975,0.924972203717457,0.9235109284726714,0.9325214187102873,0.9307329688679339,0.9211410535676088,0.9247198470280761,0.9195257935568538,0.9053591738598328,0.9056250602338454,0.9046052389582906,0.9038482971365871,0.8967696654669025,0.8909338232615596,0.890646990085983,0.8898702235682061,0.8916011998608236,0.8920316905634701,0.8951098618556906,0.8844234922356785,0.88643956642135,0.8910972754756659,0.8858041972206324,0.8816662004198759,0.878603602579629,0.8720774129056205,0.8704854596868922,0.867855771919004,0.8670693776614261,0.8650873309415579,0.8621422082427999,0.8547075510344694,0.8545814955517299,0.854578057734476,0.8538087776180483,0.8526073199294489,0.8540532623568972,0.8516041080154556,0.8568768868511243,0.8643192009274289,0.8606781790020374,0.8554250828472043,0.8597658621170964,0.8557392148139495,0.8548615075442595,0.851968522548068,0.8547070047155237,0.8574928126625118,0.8591711036592903,0.857034949768691,0.8566510359086376,0.8533254360349688,0.8599376499535126,0.8648355300278656,0.8674145891954113,0.871448657273736,0.8695595017644564,0.8748733492876218,0.8736691309152608,0.872883353271642,0.877545745913541,0.8728248932641864,0.8747776247330205,0.8743122309198851,0.8704686660748038,0.876269381216275,0.8767894394942614,0.871475537736005,0.8768161249847236,0.8744895794276272,0.8763086977010981,0.8840943786502777,0.8775303851576489,0.8788070700162061,0.8799363657420126,0.8830974105935616,0.8828560437762675,0.8860733294236982,0.8828607282712925,0.88641970206647,0.8838662476153406,0.8866348233083216,0.8881132980925857,0.8838254308704176,0.8882912196779038,0.8871354763376554,0.8881254088427729,0.8957872219436928,0.8906941353112366,0.8892483788030261,0.8902078501528182,0.897849682933507,0.8985489689599567,0.8988033573899564,0.898805010848629,0.9023065150511492,0.9016333930772192,0.8986673315060135,0.8993499441901551,0.9040451165174422,0.9010607778781179,0.898468003781068,0.904782145247732,0.9047344056967181,0.90385416353704,0.9029685130484494,0.9011033478820623,0.9050437782343601,0.9010740744462189,0.8966995461392149,0.8999583847774554,0.8981988222019006,0.9040086984379272,0.8986918857701004,0.9032444689814889,0.8992704208495593,0.8979909101759521,0.9018081033573643,0.8997329974880767,0.9002428799866581,0.8984720369145511,0.8916534374541069,0.8977902642965081,0.8972489672767311,0.8989031855723024,0.8970296277638905,0.901445064634015,0.8958548028421003,0.8995584763695172,0.8988500406387141,0.901400993295861,0.8991220575610306,0.9048171446807111,0.9021615210690398,0.9031487389302087,0.9040943083746907,0.9046080785212296,0.9041910622228824,0.9008329950848184,0.9037197576260426,0.906529537545155,0.9058827958898522,0.9039271117894069,0.9097012963779677,0.9041412878871813,0.9020563069626196,0.9086061214997756,0.907239350545741,0.9085992965025851,0.9125308156264519,0.9104553530088172,0.9100633798376382,0.9105026684795348,0.9127115424546349,0.9108845535211574,0.9073912213297299,0.9128551954666073,0.9133293075491692,0.9154100746211926,0.9156734891117438,0.9216903100522497,0.9221091076673157,0.9208574943373176,0.9245934021537993,0.9206981280678022,0.9223265342985787,0.9254271006517527,0.9209084308818898,0.92284177016851,0.9222640359459461,0.9236578894501227,0.9218980363436228,0.92636882731544
eig2,0.8715260057970042,0.857723775167007,0.8456496492181441,0.8282964309232783,0.8281735429705973,0.8265333802016354,0.8329316778178874,0.8478784423633505,0.8437208519485301,0.8335111104385614,0.8291306156967864,0.8280549615126697,0.8324742299586619,0.8247264558946511,0.8226408837624543,0.8190185267765455,0.8286822227900711,0.8397037277479353,0.8338389007183195,0.832734889438635,0.8231492251843123,0.8176371233397419,0.8193287517747002,0.8192495148079271,0.8092596538407713,0.8052859438582326,0.8063704790828263,0.806277696242843,0.7960882323085241,0.7911163982096664,0.7915124512464076,0.7806569677688141,0.7872269080311874,0.780156422647052,0.7841217405347171,0.7792484284277147,0.7827275252434182,0.7787820774755068,0.7811824341596072,0.784960307431795,0.7833313154526662,0.7889117695766724,0.7910394563600097,0.7892117317815107,0.7867578757494323,0.7847587685457375,0.7896922130090046,0.7892274894399783,0.7931883082515786,0.8010451001346262,0.8135356073903586,0.812111148604339,0.814883811380954,0.812650331545191,0.8151077312326153,0.8159313025269201,0.8169485247393972,0.8203378516128718,0.8139616513793538,0.8145286472569817,0.8148029170748178,0.8223699481255329,0.8236861307483969,0.8262120113857045,0.8276401555317958,0.8185375329999596,0.8203177890836378,0.8274676638668598,0.8277453801712487,0.81997605321858,0.8218246803059325,0.8177766758136652,0.818081235625476,0.8148106477916928,0.8118875866265022,0.8165099780713602,0.8194918068862964,0.8101218625042861,0.8158984501473171,0.8195883434952694,0.8216151986015688,0.8251100687310208,0.8250356647938469,0.8187973431245755,0.821202275845343,0.8250325282791252,0.8248347083915311,0.8270315798678932,0.8275164963244335,0.8217051018037739,0.8297461705288437,0.8228032499221627,0.8236846117788081,0.8241105116298496,0.8209552143298982,0.8243048804199816,0.8143346829678197,0.8112613806322057,0.8128795740552898,0.8108516644294538,0.8200170063985682,0.8239773878115133,0.8229499023629794,0.820684001755387,0.82436343530786,0.8216249828360747,0.8213225583443622,0.8225288909298746,0.8244248898504791,0.8175659850130657,0.8163988436233617,0.8175875548504599,0.8257062170296087,0.8198877615992364,0.8188530604295297,0.8130784349720961,0.8180478512927201,0.8173353208679418,0.8153567036388619,0.818528154850367,0.8165982646128208,0.8223093639019412,0.8241576891984818,0.8177241963765344,0.8255291504113265,0.8258255663023857,0.8240078629096713,0.8231206905672304,0.8265931057285544,0.8260558280306585,0.8261711537814996,0.8285531005269811,0.8331776263911904,0.8364076542363876,0.8337066436535762,0.8358548047147422,0.8309923865095273,0.828695314685955,0.8327577792064114,0.8332196817058773,0.8367111505013511,0.8409208663322476,0.839789813687135,0.8382075016764664,0.8413401689535944,0.8463895467637794,0.8439572508152908,0.8403852803915828,0.8433831610545297,0.8433415271005772,0.8417552580973621,0.8362585217835024,0.8452634859053794,0.8557553681554556,0.8472279638497298,0.8472089275529237,0.8504860571909676,0.8535226213071295,0.8496979552303362,0.8539133691395449,0.8509168987931075,0.8507639373480925,0.8533403859724277,0.854364809705459,0.8556201396701484,0.8610832353604904,0.8562174392787834,0.8607962850790984,0.8611175473194697,0.8671676129101935,0.8674317416614385,0.871104190724529,0.8722806772353292,0.8733921477445634,0.8683422214306807,0.8676497155134776,0.8729299581051253,0.8784530648210134,0.873760537270407,0.8755058411956688,0.8736067899429304,0.8755810062130793,0.882523871202082,0.8838185690922692,0.8846533568491899,0.8821921682048269,0.883742428295645,0.8836769275385117,0.8857208190921061,0.8833140333473579,0.8861023855936849,0.884119214118179,0.8855139770005414,0.8807680803685184,0.8835665075587116,0.8812261457464278,0.880138205890193,0.8758340862241986,0.8784154055463456,0.8772586384679661,0.8774024544428858,0.8769271679882327,0.8795895935214836,0.8815031366308664,0.8798188341796288,0.8756185012829018,0.8767501703791862,0.8810481310830912,0.8893502763254649,0.8846800635327716,0.8852503641732813,0.8827653844636184,0.8810909190930282,0.8805046482060337,0.8804167038847557,0.8773292703133456,0.8754785627173832
eig3,0.8390275146825897,0.8325801913185353,0.8170586035105911,0.8155968327546674,0.8103757735696838,0.8189614045232188,0.8185692285145943,0.8146913219349167,0.8080818665059784,0.80025867942494,0.8137065462217721,0.80336763767311,0.8102311621309167,0.8070201694404359,0.8103680809727376,0.8125245325482097,0.8054666929111883,0.7987926551013769,0.7910526571935449,0.800675982072162,0.7957040042189216,0.7942055961493119,0.7918711086190011,0.7909165332038272,0.7856054494084544,0.7764704043755987,0.7707559750097027,0.7698886069729419,0.7604701538317448,0.7575003626595704,0.7530482958032007,0.7447715166250735,0.7431375668473408,0.7444081230938139,0.7428196276165377,0.7378635940047165,0.7396096417833491,0.7399749409801553,0.7374611636273392,0.7378944046543993,0.7411675896206843,0.7352189727148353,0.7350713440872942,0.7262315451236541,0.7242761134857568,0.7195229128723039,0.7253650956826497,0.7275119131397872,0.718688002698328,0.7167051844528214,0.7118189401308721,0.7190824941408026,0.7183503371921146,0.7234671687602309,0.7175657877331083,0.7126305537974577,0.7086571125579876,0.704086860244321,0.701654493152912,0.6978945202364916,0.695473385407394,0.6918034904820671,0.6915155871392904,0.6849870886715151,0.6824807737371354,0.6817627322139515,0.6887722186501305,0.6827857398930097,0.6815280040644052,0.6877018316576273,0.6883451667844206,0.6909088300309757,0.6912869826085996,0.693299285658295,0.6992581615271645,0.7001934589359298,0.6975055087414579,0.7009542929025645,0.70245438355173,0.7029704274267199,0.7066648565115827,0.704461855041745,0.6994556441337606,0.6967023831370093,0.6978902799894087,0.6937156470201363,0.6903065013806106,0.6864341683107814,0.6924661329405599,0.6974118883998112,0.694194556114853,0.691917691329662,0.6924705161545834,0.6926594728143277,0.696545267199175,0.6936029603651337,0.6954608468856137,0.6980514279839422,0.6994204550968132,0.6931152283596619,0.686768019676417,0.6852088684035339,0.6892687655746652,0.6870005247489162,0.691983252964621,0.6951699409207274,0.6900950193655024,0.6903333805489916,0.6874945898353341,0.6902530931835315,0.690335933413857,0.6965373010538801,0.6927937727506119,0.6941846571990324,0.695278364803468,0.696367669852725,0.6984569661581088,0.6955449172624071,0.6996277552230068,0.6977498724588767,0.695973385816359,0.6942874730610317,0.6970985209262598,0.6988636920801887,0.7002663310160476,0.6975475594338013,0.7008860543943383,0.7081457765708071,0.7131567280878114,0.7115099224870202,0.709156337272589,0.70568803261375,0.7014060348017672,0.7026733804225477,0.7012605450280668,0.6990699272242057,0.7001145948243779,0.7056759457747737,0.7025570530975528,0.7054203133719762,0.6957244060703234,0.6995212729973419,0.7036398989684431,0.695371320055169,0.6985333894852118,0.6955472570375179,0.6930577250620416,0.6929062112778606,0.6923199359524096,0.6932139196971558,0.7031056929973926,0.6964750547505484,0.6996435627102254,0.703412794837178,0.699413950196184,0.7032597797310437,0.7029905092837564,0.7005228855453957,0.7011104901865076,0.7026902912940178,0.7032819992321535,0.7012607422851792,0.7017546042034623,0.7076636941896973,0.7049078735107819,0.7040914266837793,0.7051097698557877,0.7005005173717258,0.7038495395867537,0.6955515342353366,0.6926668014533912,0.6967982320792179,0.6931635044830926,0.6973671180809841,0.7041491625902978,0.7002279468353099,0.6957554078369214,0.6881611584855435,0.6908314681913337,0.6888701560684927,0.6933659745525198,0.6947335609594996,0.6960460579599029,0.6923301252075249,0.6931615439306821,0.6941385797189755,0.6906504580979576,0.6887154900043498,0.6902173461308434,0.6904822863648827,0.6873621133027675,0.6931332938231727,0.6929856806848022,0.6907606119090385,0.6925351837426922,0.6989810309654023,0.6945728011766258,0.6959619226183028,0.7035980521128249,0.6980507010341962,0.6989788585403283,0.701059476197672,0.6951121713596335,0.6908287133818992,0.6903267016510275,0.6928538981337709,0.6928343087754095,0.6900251541059819,0.6897536028998927,0.6984809369148203,0.6898725383623303,0.6955542701013392,0.6963541409564531,0.6957981779721534,0.6989010470884974,0.701927733237577,0.7017229491821699
