,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102
Time,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,57.0,58.0,59.0,60.0,61.0,62.0,63.0,64.0,65.0,66.0,67.0,68.0,69.0,70.0,71.0,72.0,73.0,74.0,75.0,76.0,77.0,78.0,79.0,80.0,81.0,82.0,83.0,84.0,85.0,86.0,87.0,88.0,89.0,90.0,91.0,92.0,93.0,94.0,95.0,96.0,97.0,98.0,99.0,100.0,101.0,102.0
eig1,0.9539524644756052,0.956881292727905,0.9747254521653502,0.9650569133113042,0.9828277586327034,0.9997094614065809,1.0015198405610757,0.9965969551281825,0.9872161079183203,0.9925711470239933,0.987877139566332,0.9861945287188132,0.983997510328889,0.976246974749833,0.9768174969052007,0.9874023802589178,0.9841726195174484,0.9790031061722999,0.9746653627197297,0.9624384491038408,0.9550806788494621,0.9482389546396907,0.9494929344390688,0.9453040476079615,0.951982717519031,0.946419198531408,0.94167858634087,0.9487315423777484,0.9409571378582825,0.9493125004881217,0.9447949717260632,0.9466330151938052,0.9479733332198466,0.9552380850288643,0.9638597371783642,0.9581525716567282,0.9487820778130861,0.9558003951444116,0.9512101350561419,0.9470854960992143,0.9524290233536025,0.9505006313995767,0.949301326856465,0.942220957196037,0.9472825441506234,0.9379876691520201,0.943201974281699,0.9364666574522507,0.9323306026348287,0.923777719541203,0.9182271404971464,0.9237270158077886,0.923924312932973,0.9202463156158833,0.927465332078287,0.9219453580190258,0.9214567109496256,0.9249879685519455,0.9334442381452462,0.9305889868255373,0.9332575178973221,0.9379384633658583,0.9375481935800473,0.9411663115048142,0.9437520105947175,0.9321117496361556,0.9367339119357053,0.9364346768874965,0.9406426745672526,0.9376904950215004,0.935846333261721,0.9366753221782964,0.9350661312711758,0.9339469611159236,0.9397285302768331,0.9412678469782019,0.9377555579009034,0.9320130621535868,0.9227184963200536,0.9225214215217464,0.9285158960426684,0.9317649141975662,0.9366648002712189,0.931619329542404,0.932575226304822,0.9303876632069648,0.9262836278520931,0.9276258791716737,0.918250610556996,0.915212785854519,0.9146544340683899,0.9169042393061481,0.920982830530205,0.9237562054754965,0.9234003957304853,0.918295115246129,0.9143240904823785,0.9093295625773515,0.9021047836251885,0.9051511786096845,0.9122166747262667,0.9139240454954324,0.9089457944636736
eig2,0.8988403333863441,0.8658670755843216,0.8729838510577413,0.8506965269768739,0.8499673949827106,0.8475165667021568,0.8457684848783863,0.8462731970588466,0.8543735219896545,0.8507019190355498,0.8396128966752098,0.8321372528866643,0.8299637767043526,0.8312548229910474,0.825235903152525,0.8243906818304415,0.8187642564184634,0.8224803019466488,0.8234883006319454,0.8239239324320392,0.8238079857471647,0.8199306259733776,0.8109783949120232,0.8072665808677395,0.809533089367109,0.8145784995504848,0.8120344870610572,0.8109872002551268,0.812439329433834,0.8113802351342355,0.811383640182251,0.8074881047049605,0.8120223035171378,0.8168105043504771,0.8157907728988822,0.8114677305304453,0.8102842980226547,0.8154955894397123,0.8173363359794023,0.8117237178637144,0.8240436009121075,0.8293722380708964,0.8342709290329174,0.8265653227304269,0.8260727309719839,0.8290179443808445,0.8212795028408596,0.8252858818889466,0.8222536123905616,0.8266482818856983,0.8283704375792118,0.8197079181205082,0.8240682626018566,0.8228836063503544,0.822932873883842,0.8184530783823042,0.8192193954823438,0.8178576294956793,0.8177424088620648,0.8202436980711424,0.8177897107145293,0.8170140233911726,0.8092449101758731,0.8098298764691768,0.8093208204405966,0.8161956668821619,0.8157504444702924,0.8107383035327285,0.8100009496346844,0.806730449822643,0.8103908592271074,0.8056915616072032,0.8085385037155525,0.8086803647579924,0.8090782447360377,0.8035583647773394,0.8066242479163787,0.8092930914306876,0.8154184010287672,0.8174830970703032,0.8156676995108938,0.8089263092376852,0.8122760132044405,0.8114979888059031,0.8114557485089955,0.8055173691918281,0.8081153458669585,0.8143615784886306,0.8073977534618588,0.8112018598189814,0.81712878668549,0.815792225775784,0.8140930355075203,0.8127649990806955,0.8114884419976646,0.8118082722685681,0.817947976830511,0.8119387452682658,0.8083021057985976,0.8156655339462154,0.8136069438707271,0.8096350244125544,0.8066210875877418
eig3,0.8440846150106699,0.8105921745180908,0.8209254744371411,0.8168736195599734,0.8140451729664739,0.8146537175405676,0.8269643001851912,0.8089538485200167,0.804369475097113,0.7994646455922476,0.7978977747795675,0.7981359750226557,0.7925347893675864,0.7919946188728484,0.7871902534484628,0.7978382086338011,0.798527996306883,0.7960721581807465,0.7924822396173632,0.7907334186718877,0.7784535988974483,0.7826565254965849,0.7716158074628642,0.7768132943002233,0.7793589610246315,0.7719620880925955,0.7679402015861279,0.762333481790432,0.7640091058993327,0.776259615626456,0.7768671443072175,0.7725415156250979,0.7753208133819266,0.7683787285637063,0.7601451334437588,0.7557001353017134,0.7491108691580328,0.7436382896179069,0.7399692621441043,0.7432174179712301,0.7445757647247807,0.7447180680258758,0.7356389820885613,0.7308767243662516,0.7269042407104153,0.729623170093975,0.7235304800339671,0.7223573968397796,0.7190169848562,0.7281367478012057,0.7245486176977618,0.7246413674372149,0.7257731412014997,0.7277479551034555,0.7176243042882283,0.7253402967558149,0.7239708249339788,0.7268250216921143,0.7234104667627158,0.7235087324762496,0.7275666375128342,0.727858252205888,0.7225583572507654,0.721034228153122,0.7222002374910892,0.7189952745682329,0.7204102147196856,0.7211311548397419,0.7230037669394458,0.7208986419084537,0.7293938236736824,0.7322157463565057,0.733665429930019,0.7368132225291549,0.7427623071002282,0.743688071196295,0.7467852809060053,0.739239319726346,0.7433708581922683,0.7438346470023788,0.7452168970196632,0.7480563419398782,0.7468882882346203,0.7535836126483881,0.7532629426995551,0.7519248927111223,0.7532782417618572,0.7596861223779856,0.7664111629758219,0.7703595248726445,0.769253823907136,0.7691484645217602,0.7704541513540819,0.7693937633331821,0.7724757708706186,0.7686220151958627,0.7690396946585422,0.7699621853667078,0.7690454042964828,0.7661962673322648,0.7705386141933026,0.7690327712315488,0.7653344005077979
