,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216
Time,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,57.0,58.0,59.0,60.0,61.0,62.0,63.0,64.0,65.0,66.0,67.0,68.0,69.0,70.0,71.0,72.0,73.0,74.0,75.0,76.0,77.0,78.0,79.0,80.0,81.0,82.0,83.0,84.0,85.0,86.0,87.0,88.0,89.0,90.0,91.0,92.0,93.0,94.0,95.0,96.0,97.0,98.0,99.0,100.0,101.0,102.0,103.0,104.0,105.0,106.0,107.0,108.0,109.0,110.0,111.0,112.0,113.0,114.0,115.0,116.0,117.0,118.0,119.0,120.0,121.0,122.0,123.0,124.0,125.0,126.0,127.0,128.0,129.0,130.0,131.0,132.0,133.0,134.0,135.0,136.0,137.0,138.0,139.0,140.0,141.0,142.0,143.0,144.0,145.0,146.0,147.0,148.0,149.0,150.0,151.0,152.0,153.0,154.0,155.0,156.0,157.0,158.0,159.0,160.0,161.0,162.0,163.0,164.0,165.0,166.0,167.0,168.0,169.0,170.0,171.0,172.0,173.0,174.0,175.0,176.0,177.0,178.0,179.0,180.0,181.0,182.0,183.0,184.0,185.0,186.0,187.0,188.0,189.0,190.0,191.0,192.0,193.0,194.0,195.0,196.0,197.0,198.0,199.0,200.0,201.0,202.0,203.0,204.0,205.0,206.0,207.0,208.0,209.0,210.0,211.0,212.0,213.0,214.0,215.0,216.0
Ncross_mean,0.0,236.0,516.0,792.0,1056.0,1343.0,1639.0,1917.0,2199.0,2456.0,2728.0,2918.0,3130.0,3296.0,3453.0,3612.0,3754.0,3888.0,3985.0,4095.0,4187.0,4291.0,4355.0,4447.0,4487.0,4558.0,4626.0,4668.0,4702.0,4728.0,4793.0,4813.0,4833.0,4857.0,4884.0,4905.0,4902.0,4908.0,4933.0,4949.0,4965.0,4969.0,4977.0,4989.0,4985.0,4992.0,4991.0,4997.0,5016.0,5008.0,5013.0,5020.0,5023.0,5017.0,5027.0,5034.0,5029.0,5032.0,5034.0,5035.0,5040.0,5040.0,5038.0,5038.0,5040.0,5038.0,5041.0,5036.0,5038.0,5039.0,5039.0,5038.0,5037.0,5038.0,5041.0,5044.0,5043.0,5038.0,5042.0,5043.0,5042.0,5043.0,5043.0,5040.0,5044.0,5044.0,5043.0,5043.0,5039.0,5042.0,5044.0,5044.0,5045.0,5042.0,5043.0,5042.0,5044.0,5044.0,5042.0,5042.0,5043.0,5043.0,5044.0,5044.0,5045.0,5044.0,5044.0,5042.0,5045.0,5045.0,5045.0,5044.0,5045.0,5045.0,5045.0,5043.0,5045.0,5044.0,5044.0,5044.0,5044.0,5045.0,5045.0,5045.0,5045.0,5045.0,5043.0,5043.0,5044.0,5045.0,5045.0,5045.0,5045.0,5045.0,5045.0,5044.0,5043.0,5044.0,5045.0,5044.0,5044.0,5043.0,5044.0,5044.0,5045.0,5045.0,5045.0,5044.0,5045.0,5045.0,5045.0,5045.0,5044.0,5044.0,5045.0,5045.0,5045.0,5045.0,5045.0,5043.0,5045.0,5045.0,5045.0,5045.0,5045.0,5045.0,5044.0,5045.0,5045.0,5045.0,5045.0,5045.0,5045.0,5045.0,5045.0,5045.0,5045.0,5045.0,5045.0,5045.0,5044.0,5044.0,5045.0,5045.0,5045.0,5045.0,5045.0,5045.0,5045.0,5045.0,5045.0,5044.0,5045.0,5044.0,5044.0,5045.0,5044.0,5045.0,5045.0,5045.0,5045.0,5045.0,5045.0,5045.0,5045.0,5045.0,5045.0,5045.0,5045.0,5045.0,5045.0,5045.0,5045.0,5045.0,5045.0,5045.0,5045.0
Ncross_std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Valency_mean,0.0,1.11864406779661,1.2054263565891472,1.2916666666666667,1.3731060606060606,1.454951600893522,1.5277608297742526,1.6040688575899844,1.6739427012278307,1.744299674267101,1.80975073313783,1.8728581220013707,1.9357827476038338,2.0179004854368934,2.0793512887344336,2.1373200442967883,2.185135855087906,2.2440843621399176,2.304642409033877,2.34993894993895,2.4021972772868403,2.453973432766255,2.5003444316877155,2.543287609624466,2.620459104078449,2.6663010092145676,2.6980112408127974,2.748928877463582,2.7858358145470015,2.836082910321489,2.8850406843313166,2.923332640764596,2.9406165942478792,2.9724109532633314,3.0083947583947586,3.040163098878695,3.075479396164831,3.09718826405868,3.135617271437259,3.1396241664982827,3.1832829808660623,3.2072851680418597,3.2310628892907376,3.247544598115855,3.274222668004012,3.2814503205128207,3.3079543177719897,3.32939763858315,3.3315390749601277,3.347244408945687,3.3684420506682624,3.385458167330677,3.402747362134183,3.431931433127367,3.437437835687289,3.4616607071911005,3.455160071584808,3.4705882352941178,3.4841080651569327,3.4798411122144985,3.490873015873016,3.496626984126984,3.515680825724494,3.522826518459706,3.5311507936507938,3.525605398967844,3.5193414005157706,3.5258141382049244,3.538110361254466,3.5491168882714823,3.5606271085532843,3.5635172687574435,3.574746873138773,3.5668916236601826,3.573100575282682,3.566019032513878,3.577434067023597,3.5966653433902342,3.600357001190004,3.6051953202458855,3.6043236810789367,3.612730517549078,3.607574856236367,3.6200396825396823,3.634020618556701,3.6350118953211736,3.6420781280983543,3.6337497521316675,3.6475491168882717,3.646965489884966,3.6425455987311657,3.646114195083267,3.645193260654113,3.652717175723919,3.6625024786833236,3.668980563268544,3.669706582077716,3.6754559873116572,3.6755255850852837,3.682665608885363,3.689470553242118,3.6983938132064247,3.6990483743061064,3.695479777954005,3.6985133795837464,3.681800158604282,3.6907216494845363,3.7023006743355813,3.7082259663032704,3.6947472745292367,3.7060455896927653,3.7036082474226806,3.710009910802775,3.7020812685827553,3.7046580773042614,3.711481261154075,3.6915758176412288,3.7099524187153055,3.702616970658208,3.7268041237113403,3.72065820777161,3.721902874132805,3.7129831516352825,3.7201189296333004,3.7193260654112983,3.7268582755203172,3.7368629783858816,3.736268094388261,3.738302934179223,3.7302279484638254,3.743310208126858,3.737165510406343,3.73597621407334,3.7413280475718533,3.7421209117938554,3.741276764472641,3.7390442197104896,3.7313639968279144,3.736372646184341,3.7410785091197463,3.7373116574147502,3.744001586357327,3.74781919111816,3.76050753370341,3.7678889990089197,3.7629335976214073,3.7492566897918733,3.7527755749405234,3.761744301288404,3.7534192269573836,3.7546085232903863,3.754410307234886,3.7618953211736716,3.7644726407613005,3.764915758176412,3.776808721506442,3.761149653121903,3.780773042616452,3.7702675916749255,3.7737457862383503,3.7633300297324084,3.778394449950446,3.7661050545094152,3.7714568880079287,3.776808721506442,3.7845391476709613,3.7837034099920697,3.778394449950446,3.7774033696729434,3.7813676907829534,3.7801783944499503,3.7849355797819624,3.793657086223984,3.7859266600594648,3.7934588701684837,3.7890981169474727,3.7898909811694748,3.793657086223984,3.783151635282458,3.780773042616452,3.7952022204599523,3.7874702616970657,3.7841427155599603,3.78394449950446,3.798810703666997,3.783548067393459,3.794449950445986,3.8037661050545095,3.8005946481665016,3.808325074331021,3.8067393458870167,3.7914353687549562,3.800396432111001,3.7952022204599523,3.7898493259318,3.8069375619425174,3.7904440919904836,3.805550049554014,3.8005946481665016,3.7982160555004953,3.805153617443013,3.808325074331021,3.8134786917740335,3.815262636273538,3.8138751238850346,3.81605550049554,3.8045589692765116,3.818830525272547,3.8005946481665016,3.8253716551040635,3.82398414271556,3.8053518334985132,3.8182358771060456,3.80396432111001,3.822398414271556,3.8150644202180377,3.823587710604559
Valency_std,0.0,0.38332823314910647,0.45797161103569783,0.5546235869779821,0.6162233860203786,0.6821981530831316,0.7663160696713396,0.7966047745783091,0.8344604247331436,0.8881733339317195,0.9226421622530109,0.9554558825735401,0.9734646028454705,0.9887019340370972,1.0162675882149783,1.0264887707982833,1.027113850134684,1.0402600305474754,1.0579405333019576,1.070818098663024,1.0785597284818236,1.080500215707244,1.066206671650042,1.0758732690311654,1.0728575713729798,1.0717403752733605,1.0672503371707038,1.0602808641082788,1.0568019807263855,1.0495309821372498,1.0417587538804631,1.0276369792663402,1.0215915418643002,1.0146449825170893,0.9941120491980429,0.9897628778846532,0.975011389676961,0.9573889288756483,0.945962650738404,0.9461687696519672,0.9285894930531129,0.9137152091217127,0.9003245097676821,0.8971215658392961,0.8721867068020871,0.8652805305624356,0.852550972321081,0.8430828966601158,0.8309755942660477,0.8211878198511805,0.810179541934197,0.8040161202095395,0.7830884818820988,0.7614653613882768,0.7638482398641729,0.754420230432478,0.7420471964680652,0.732458762251468,0.7333408248812661,0.7217302217498204,0.7104073499919962,0.713801395549021,0.7047534987491438,0.6937701211638314,0.6930936692858564,0.6830036794250872,0.6969147603457704,0.6940179205993589,0.6859016387838508,0.6796438560133035,0.6737248866774566,0.6758428014400687,0.6610505656604391,0.6597600708567978,0.6474757477171136,0.6545478765641872,0.6435377134120718,0.6250722828815146,0.619291760232221,0.6254792146740005,0.6231081233542215,0.6174574947615984,0.6263420080303983,0.6067373048984666,0.6027300535213561,0.6038235458816742,0.5929306286256338,0.6021535468213008,0.5889852275332088,0.587722895169479,0.587422648241442,0.5855302940603647,0.5994539862074093,0.583881704663007,0.5750409237553964,0.581775408522024,0.5725915261831558,0.5628115405183153,0.5670371329242374,0.5559288774138987,0.5532717545830659,0.5425128974319653,0.5404266370920681,0.5428244595824379,0.5431689219473539,0.5526034651740951,0.5510292030664197,0.5340736756580332,0.5324939215533465,0.5430725644539974,0.5254788008771926,0.5264409118628331,0.5347664198384288,0.5389171955348868,0.5346174007178565,0.5252319270871143,0.5503565782120885,0.5362846140512878,0.543129069703985,0.5199310792935447,0.5156948713984243,0.5163011184161478,0.5200441399974302,0.5185953294113423,0.5174010122307101,0.5083272288487973,0.5131267509357608,0.5071834888104196,0.5066097358794261,0.5110940165256278,0.49867748177294874,0.5051727406331942,0.504552184876613,0.5024090827585713,0.499652863885776,0.49728967587924217,0.5007593268807498,0.5117567463424465,0.5071101239227728,0.49818236887975714,0.5031498614959788,0.5019308441168855,0.496064210413283,0.4788743038341736,0.470581113421594,0.477121485934118,0.5016938034948782,0.4846393767798297,0.49087140616784114,0.48592753935689637,0.494610267299454,0.4866328903832742,0.48347725273428815,0.4729380508328128,0.47643998811910676,0.4641106931154184,0.4764389985385567,0.4600027976675807,0.4792503517509063,0.4810186375025588,0.4822757530523992,0.46187556513620714,0.4795116371608389,0.4818797418487217,0.4755022633606499,0.466264078591525,0.46036835325454395,0.47206292836222,0.47096551906399486,0.4535617359870159,0.4667789886772582,0.4587342226490422,0.4448130812560763,0.4637078111972626,0.4555100698442857,0.4647324958000562,0.45951765982463855,0.452325129904963,0.4585425026744751,0.4651448797890965,0.4384032861007132,0.4541133094362551,0.46008820140416284,0.45977964827433027,0.4427127977065067,0.4643130607182502,0.45137047090439736,0.4406789167093247,0.4446350640128962,0.4334045612956245,0.43725671128513655,0.4520176829635973,0.44743497728394216,0.4500074661763061,0.4547834330240646,0.4375708206209282,0.447811535734912,0.4448236805315593,0.44508063568386497,0.4422180207757386,0.43926824590736524,0.4320303431691457,0.42645040771432696,0.42044498985708484,0.43216300684492,0.4287256115997712,0.4396807436473869,0.422933054633364,0.4374441980112852,0.4179217134846175,0.41280253193618754,0.4404825492720334,0.42710965331824347,0.43964142375601956,0.4244436641313796,0.42714046869004474,0.4235376666741524
Nfil_per_cross_mean,0.0,1.0338983050847457,1.054263565891473,1.0681818181818181,1.1079545454545454,1.150409530900968,1.1903599755948748,1.2399582681272823,1.2928603910868577,1.3501628664495113,1.400293255131965,1.4523646333104867,1.5006389776357827,1.5615898058252426,1.6128004633651898,1.6600221483942414,1.6941928609483219,1.7453703703703705,1.7934755332496863,1.8383394383394382,1.8867924528301887,1.9359123747378233,1.988748564867968,2.0222621992354397,2.0849119679072876,2.1195699868363316,2.1508862948551664,2.208654670094259,2.2477669076988516,2.28997461928934,2.3315251408303777,2.368169540826927,2.3916821849782743,2.4222771257978177,2.4584357084357085,2.4952089704383282,2.521215830273358,2.5462510187449063,2.57774173930671,2.598706809456456,2.641893252769386,2.6715636949084325,2.692786819369098,2.708959711365003,2.743630892678034,2.75400641025641,2.783009416950511,2.8098859315589353,2.826555023923445,2.8480431309904155,2.878515858767205,2.89800796812749,2.9141947043599443,2.9433924656169026,2.953849214243087,2.9751688518077075,2.975541857228077,2.991454689984102,3.002582439411998,3.0079443892750746,3.017857142857143,3.0305555555555554,3.0575625248114333,3.0653036919412466,3.0734126984126986,3.076419213973799,3.070819281888514,3.0778395552025417,3.0978562921794364,3.1115300654891844,3.119269696368327,3.1256450972608176,3.132817153067302,3.125843588725685,3.1404483237452885,3.1358049167327517,3.1489192940709896,3.170107185391028,3.1735422451408173,3.181241324608368,3.1874256247520827,3.20523497917906,3.2090025778306566,3.224801587301587,3.240285487708168,3.2414750198255353,3.244497323022011,3.240134840372794,3.251637229609049,3.2532725109083698,3.2561459159397304,3.263877874702617,3.266798810703667,3.273502578341928,3.2805869522109856,3.2905593018643398,3.3001586042823154,3.3065027755749403,3.311781039270131,3.3226894089646963,3.323418600039659,3.329565734681737,3.3318794607454403,3.3285091197462333,3.3341922695738355,3.3221649484536084,3.330293417922284,3.341134470448235,3.347076313181368,3.33994053518335,3.3526263627353816,3.3530927835051547,3.358374628344896,3.355203171456888,3.3595639246778988,3.3606979972238746,3.346283448959366,3.3602299762093577,3.3612212529738303,3.3893735130848532,3.3860031720856463,3.3813676907829535,3.3774033696729435,3.3833498513379583,3.3809712586719525,3.390089197224975,3.4011501090620664,3.403926234384295,3.409992069785884,3.4033696729435086,3.415064420218038,3.4142715559960357,3.4146679881070368,3.415460852329039,3.412289395441031,3.4183187946074542,3.4182034503271863,3.4111816019032513,3.4206144697720515,3.422283901665345,3.4244647105471846,3.4297045409478484,3.43913560666138,3.4434972244250597,3.4533201189296334,3.4461843409316155,3.4386521308225966,3.444290245836638,3.4493557978196234,3.440832507433102,3.443607532210109,3.4434093161546087,3.45182394924663,3.4577716098334657,3.458077304261645,3.4717542120911795,3.4618434093161548,3.4751238850346877,3.464816650148662,3.467578822129685,3.4618434093161548,3.4777006937561943,3.473141724479683,3.473934588701685,3.4850346878097125,3.492368681863231,3.4972244250594766,3.495540138751239,3.492368681863231,3.494350842418236,3.4973240832507435,3.4971258671952428,3.506045589692765,3.5042616451932607,3.51199207135778,3.5110009910802775,3.512388503468781,3.5147670961347868,3.5086223984142717,3.5072348860257683,3.5224028548770816,3.5166534496431403,3.519127849355798,3.5125867195242813,3.5248761149653123,3.515559960356789,3.5288404360753223,3.537760158572844,3.5365708622398415,3.535579781962339,3.535183349851338,3.52934179222839,3.537760158572844,3.5227993655828707,3.5208168120539254,3.534786917740337,3.518041237113402,3.534786917740337,3.5322101090188305,3.5310208126858273,3.541922695738355,3.551238850346878,3.5530227948463824,3.554410307234886,3.558374628344896,3.5698711595639248,3.558374628344896,3.5676907829534192,3.5534192269573834,3.573240832507433,3.5710604558969274,3.560356788899901,3.5694747274529237,3.5542120911793855,3.574033696729435,3.5718533201189295,3.5813676907829533
Nfil_per_cross_std,0.0,0.1809674280005307,0.2265370418015885,0.2618846366279334,0.3338440904400782,0.39507134313161174,0.44089852762538506,0.48751720896364975,0.5409127365046874,0.5920413860453342,0.6346772118709556,0.6753464026312749,0.7020050521933764,0.7243798128703871,0.7501933758851187,0.7694519195055801,0.7801707059436029,0.8047436308449167,0.8260243803937577,0.8517712218970206,0.8649339449206923,0.8760752162028451,0.8831174142320963,0.8940746456899407,0.9047147068228455,0.9084743583378638,0.9076083943239369,0.9183423592550317,0.9228365496842793,0.9302498614729116,0.9280620090711093,0.9220168199887314,0.9194256908755754,0.9226754358112222,0.9088880500214733,0.9167305966926138,0.9081989244337552,0.8976221665831927,0.8856625450593681,0.8828112899181197,0.8795868071681174,0.8783975180156074,0.8792099041860919,0.8802195353019135,0.8712918596443749,0.8765919437551001,0.8730244835395097,0.8708233615334359,0.8663824759653027,0.8566784273297523,0.8496624173264119,0.8512681048827639,0.8359360940946027,0.8297252451905498,0.8244924194269706,0.8249554359420985,0.8161707836896327,0.8071905279572785,0.8070712548386901,0.7989171201891223,0.7943741743021269,0.7967312242776587,0.7913921166498256,0.7889061936656321,0.7848816134553909,0.7769989654704931,0.7886968699703402,0.7930755345406981,0.7847743318157415,0.7727909259818162,0.7789295722490189,0.7797897047354078,0.7707355052793843,0.7683464875175076,0.7527721151368327,0.7595510840841966,0.7503269972792271,0.754136158921525,0.7501355867791607,0.7483666435751484,0.7443936678178309,0.7390662196095893,0.7485475767850598,0.7276156703968134,0.7363311634418918,0.7354029448183638,0.7283847055920686,0.7355180859171262,0.7296792653589969,0.7205229440383991,0.7200344015216749,0.719582571960242,0.7319535207577229,0.7208351552171427,0.7116449404314017,0.7088339591665593,0.7073254224154517,0.7009321296027917,0.7086310145410005,0.6910753584480016,0.693801950706788,0.682964828931038,0.6820506268857441,0.6849840074918001,0.6938140709257571,0.6902920859391102,0.6926215822322923,0.6840462124095329,0.6878917931276789,0.7031011558191912,0.6885266297391925,0.6811355437652892,0.6900192714954917,0.6887854202532675,0.6813021754249065,0.6824752198787273,0.701695923044902,0.6912937298008238,0.7008908567510753,0.6801348032377169,0.6760681658963034,0.6825371781744974,0.6768761664632675,0.6764627563699842,0.6728153710011409,0.6642960848724445,0.6687662747428881,0.660521288159343,0.6682051306939539,0.6639734903958562,0.6646765130569903,0.6612857176668385,0.658934865794623,0.6548127920028229,0.6580202848236344,0.6542951700748838,0.6654275004313782,0.6707331078700327,0.6674442913756413,0.6617053295769098,0.6640509996368136,0.6559464660797291,0.6507962900257114,0.6444567373475715,0.6381118219604263,0.6468095135288778,0.657391130915878,0.6429859405324982,0.6510356781167635,0.6545697417180243,0.653905904693495,0.651459193066116,0.6432861368469115,0.6362691976283468,0.6409209413745471,0.6304504619554026,0.6383677240421722,0.6356018425041098,0.6434860699196616,0.6418310389608067,0.6414652540931526,0.6281694783793683,0.6355211690624171,0.6395957591066791,0.6312195189127305,0.6263073453448006,0.6295273994195258,0.6307529524631743,0.6272560778229688,0.6196467869173142,0.6288747285484724,0.6329580882973194,0.6241054028909024,0.6345141457175154,0.6249716710618984,0.6328690072800439,0.6233761014284642,0.6188563017115354,0.6208908408149734,0.621546701872462,0.6099343572731206,0.6239346368432603,0.6196971929969974,0.6179429321992017,0.6127369665709322,0.6220316696439484,0.6173978637882669,0.6078535714132606,0.6124740120563081,0.6138254238534214,0.6112595576827822,0.6164313361106933,0.614663353886399,0.6134848121848793,0.6125851402630025,0.6099838168963463,0.6155785927488465,0.6225279987313614,0.6210729322489726,0.6085605435341779,0.6101850033599151,0.6078451039561276,0.6044215021861596,0.5943764162673945,0.6091568645430391,0.5937601562436311,0.6078538945963105,0.5940126766192971,0.6007681766276906,0.5923508978653478,0.5902704402043012,0.6037332416821093,0.5987928239313038,0.602015608993028,0.5965873238176056,0.5938574194031393,0.5932973093744158
Bar_Nfil_per_cross_mean,3.5668258401657806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bar_Nfil_per_cross_std,0.5976788807879715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mean_Nfpc_1_fil,0.0,228.0,488.0,740.0,950.0,1159.0,1359.0,1508.0,1643.0,1736.0,1839.0,1874.0,1909.0,1868.0,1852.0,1835.0,1820.0,1789.0,1741.0,1736.0,1670.0,1607.0,1513.0,1488.0,1375.0,1327.0,1286.0,1198.0,1134.0,1093.0,1029.0,957.0,913.0,891.0,803.0,773.0,726.0,671.0,619.0,588.0,549.0,518.0,489.0,486.0,438.0,445.0,403.0,392.0,377.0,346.0,312.0,301.0,280.0,248.0,229.0,229.0,212.0,190.0,194.0,183.0,170.0,176.0,159.0,162.0,158.0,132.0,150.0,157.0,136.0,118.0,132.0,130.0,120.0,108.0,87.0,103.0,95.0,89.0,82.0,88.0,93.0,75.0,86.0,73.0,80.0,73.0,69.0,65.0,71.0,69.0,52.0,56.0,78.0,62.0,56.0,57.0,54.0,39.0,58.0,40.0,40.0,40.0,35.0,31.0,44.0,41.0,39.0,34.0,35.0,46.0,40.0,29.0,36.0,36.0,33.0,36.0,52.0,43.0,44.0,35.0,28.0,23.0,25.0,24.0,25.0,22.0,25.0,24.0,29.0,21.0,18.0,22.0,20.0,23.0,30.0,12.0,25.0,23.0,28.0,29.0,31.0,27.0,21.0,17.0,15.0,17.0,29.0,19.0,19.0,26.0,26.0,19.0,22.0,19.0,17.0,16.0,15.0,18.0,19.0,18.0,14.0,18.0,20.0,17.0,17.0,20.0,13.0,23.0,16.0,10.0,15.0,18.0,13.0,19.0,20.0,22.0,14.0,9.0,14.0,10.0,7.0,17.0,20.0,15.0,15.0,18.0,16.0,12.0,15.0,12.0,16.0,16.0,19.0,13.0,13.0,10.0,11.0,17.0,17.0,13.0,16.0,13.0,15.0,8.0,18.0,5.0,11.0,6.0,9.0,12.0,14.0,15.0,15.0,10.0,14.0,13.0,18.0
